feature,importance
NEW_CREDIT_TO_ANNUITY_RATIO,3284.0
EXT_SOURCE_3,2816.0
EXT_SOURCE_2,2376.8
EXT_SOURCE_1,2322.6
DAYS_BIRTH,1856.0
NEW_CREDIT_TO_GOODS_RATIO,1505.2
DAYS_ID_PUBLISH,1420.8
DAYS_EMPLOYED,1389.2
DAYS_LAST_PHONE_CHANGE,1381.4
AMT_ANNUITY,1331.0
DAYS_REGISTRATION,1235.6
NEW_AGE_DAYS_REGISTRATION,1113.8
REGION_POPULATION_RELATIVE,966.6
AMT_GOODS_PRICE,959.2
AMT_CREDIT,819.8
NEW_INC_PER_CHLD,807.2
OWN_CAR_AGE,746.0
AMT_INCOME_TOTAL,715.0
AMT_REQ_CREDIT_BUREAU_YEAR,633.6
BASEMENTAREA_AVG,560.0
HOUR_APPR_PROCESS_START,549.8
TOTALAREA_MODE,465.4
LANDAREA_AVG,423.4
CODE_GENDER_M,413.2
LANDAREA_MODE,381.8
YEARS_BEGINEXPLUATATION_AVG,356.2
YEARS_BEGINEXPLUATATION_MODE,343.6
NEW_DEF/OBS_30,328.4
LIVINGAREA_MODE,297.8
APARTMENTS_AVG,282.6
APARTMENTS_MEDI,278.0
NONLIVINGAREA_AVG,269.0
NONLIVINGAREA_MODE,257.2
COMMONAREA_MODE,250.4
AMT_REQ_CREDIT_BUREAU_QRT,235.4
LIVINGAREA_AVG,221.6
NEW_DEF/OBS_60,209.6
LIVINGAREA_MEDI,205.6
COMMONAREA_AVG,197.4
COMMONAREA_MEDI,194.0
YEARS_BUILD_AVG,193.0
NONLIVINGAREA_MEDI,188.8
NAME_EDUCATION_TYPE_Higher education,188.6
NAME_FAMILY_STATUS_Married,188.6
REGION_RATING_CLIENT_W_CITY,188.2
FLAG_WORK_PHONE,183.0
LIVINGAPARTMENTS_MODE,180.2
OBS_30_CNT_SOCIAL_CIRCLE,176.2
LIVINGAPARTMENTS_AVG,167.0
NEW_NUM_DOCS,163.4
ENTRANCES_AVG,158.2
OBS_60_CNT_SOCIAL_CIRCLE,156.2
FLAG_DOCUMENT_3,148.0
YEARS_BUILD_MEDI,144.0
NAME_INCOME_TYPE_Working,140.2
LIVINGAPARTMENTS_MEDI,128.8
AMT_REQ_CREDIT_BUREAU_MON,124.2
NAME_EDUCATION_TYPE_Secondary / secondary special,123.8
REG_CITY_NOT_LIVE_CITY,117.8
FLOORSMIN_AVG,116.0
FLOORSMAX_AVG,115.0
NONLIVINGAPARTMENTS_AVG,113.2
ORGANIZATION_TYPE_Self-employed,109.6
NEW_60/30_OBS,103.4
ENTRANCES_MODE,89.2
ORGANIZATION_TYPE_Business Entity Type 3,89.0
NAME_CONTRACT_TYPE_Revolving loans,88.6
CNT_FAM_MEMBERS,85.0
CNT_CHILDREN,81.6
FLAG_OWN_REALTY_Y,79.2
ENTRANCES_MEDI,77.2
FLAG_PHONE,76.4
OCCUPATION_TYPE_Laborers,67.0
OCCUPATION_TYPE_Drivers,66.4
ELEVATORS_AVG,63.2
WEEKDAY_APPR_PROCESS_START_MONDAY,62.0
FLOORSMIN_MODE,61.0
ORGANIZATION_TYPE_Construction,59.0
"WALLSMATERIAL_MODE_Stone, brick",57.8
OCCUPATION_TYPE_Core staff,56.8
ORGANIZATION_TYPE_Transport: type 3,56.0
NEW_60/30_DEF,55.8
NONLIVINGAPARTMENTS_MEDI,54.6
ORGANIZATION_TYPE_Military,52.4
WEEKDAY_APPR_PROCESS_START_TUESDAY,51.2
REGION_RATING_CLIENT,51.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,50.6
FLOORSMIN_MEDI,50.4
NONLIVINGAPARTMENTS_MODE,49.6
NAME_HOUSING_TYPE_House / apartment,49.0
DEF_30_CNT_SOCIAL_CIRCLE,48.2
NEW_CNT_PARENT_MEMBERS,48.0
ORGANIZATION_TYPE_Industry: type 9,47.4
ELEVATORS_MODE,45.0
LIVE_CITY_NOT_WORK_CITY,43.8
FLOORSMAX_MEDI,41.8
