feature,importance
NEW_CREDIT_TO_ANNUITY_RATIO,3184.8
EXT_SOURCE_3,2706.4
EXT_SOURCE_2,2311.2
EXT_SOURCE_1,2277.6
DAYS_BIRTH,1771.6
NEW_CREDIT_TO_GOODS_RATIO,1500.8
DAYS_ID_PUBLISH,1344.0
DAYS_EMPLOYED,1324.0
AMT_ANNUITY,1285.4
DAYS_LAST_PHONE_CHANGE,1263.4
DAYS_REGISTRATION,1151.4
NEW_AGE_DAYS_REGISTRATION,1049.6
AMT_GOODS_PRICE,899.8
REGION_POPULATION_RELATIVE,896.6
AMT_CREDIT,788.0
NEW_INC_PER_CHLD,747.2
OWN_CAR_AGE,726.6
AMT_INCOME_TOTAL,675.0
AMT_REQ_CREDIT_BUREAU_YEAR,621.4
HOUR_APPR_PROCESS_START,503.6
TOTALAREA_MODE,422.0
CODE_GENDER_M,381.8
NEW_DEF/OBS_30,343.8
LANDAREA_MODE,303.0
BASEMENTAREA_MODE,278.4
LANDAREA_AVG,274.4
NONLIVINGAREA_AVG,258.6
BASEMENTAREA_AVG,258.2
LIVINGAREA_MODE,256.4
APARTMENTS_MODE,249.6
NONLIVINGAREA_MODE,237.6
YEARS_BEGINEXPLUATATION_MODE,237.4
AMT_REQ_CREDIT_BUREAU_QRT,232.6
LANDAREA_MEDI,224.0
NEW_DEF/OBS_60,212.4
YEARS_BEGINEXPLUATATION_MEDI,211.6
APARTMENTS_AVG,207.8
COMMONAREA_MODE,207.4
LIVINGAREA_AVG,205.0
YEARS_BEGINEXPLUATATION_AVG,204.4
BASEMENTAREA_MEDI,200.6
LIVINGAREA_MEDI,195.2
APARTMENTS_MEDI,195.2
NAME_EDUCATION_TYPE_Higher education,189.8
FLAG_WORK_PHONE,189.6
OBS_30_CNT_SOCIAL_CIRCLE,185.8
COMMONAREA_MEDI,184.8
FLAG_DOCUMENT_3,184.4
NONLIVINGAREA_MEDI,184.4
COMMONAREA_AVG,180.0
NAME_FAMILY_STATUS_Married,179.6
REGION_RATING_CLIENT_W_CITY,177.2
OBS_60_CNT_SOCIAL_CIRCLE,167.0
YEARS_BUILD_MODE,166.6
LIVINGAPARTMENTS_MODE,159.4
LIVINGAPARTMENTS_AVG,156.6
YEARS_BUILD_AVG,143.6
ENTRANCES_AVG,142.2
NAME_INCOME_TYPE_Working,137.2
AMT_REQ_CREDIT_BUREAU_MON,128.8
LIVINGAPARTMENTS_MEDI,125.4
NAME_EDUCATION_TYPE_Secondary / secondary special,121.8
REG_CITY_NOT_LIVE_CITY,107.0
NONLIVINGAPARTMENTS_AVG,105.8
ORGANIZATION_TYPE_Self-employed,104.0
FLOORSMIN_AVG,96.2
FLOORSMAX_AVG,94.6
YEARS_BUILD_MEDI,93.8
NEW_60/30_OBS,90.2
CNT_FAM_MEMBERS,89.4
ENTRANCES_MODE,88.0
ORGANIZATION_TYPE_Business Entity Type 3,86.4
ENTRANCES_MEDI,69.6
FLAG_PHONE,68.0
OCCUPATION_TYPE_Drivers,67.2
CNT_CHILDREN,65.4
FLAG_OWN_REALTY_Y,63.8
ELEVATORS_AVG,62.2
OCCUPATION_TYPE_Laborers,61.6
FLOORSMIN_MODE,59.8
ORGANIZATION_TYPE_Construction,59.8
WEEKDAY_APPR_PROCESS_START_MONDAY,57.8
FLOORSMIN_MEDI,56.8
OCCUPATION_TYPE_Core staff,55.8
NAME_HOUSING_TYPE_House / apartment,54.4
DEF_30_CNT_SOCIAL_CIRCLE,54.0
ORGANIZATION_TYPE_Transport: type 3,54.0
NONLIVINGAPARTMENTS_MEDI,52.2
ORGANIZATION_TYPE_Military,50.8
"WALLSMATERIAL_MODE_Stone, brick",50.6
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,48.8
ORGANIZATION_TYPE_Industry: type 9,47.0
WEEKDAY_APPR_PROCESS_START_TUESDAY,45.8
REGION_RATING_CLIENT,45.0
NAME_FAMILY_STATUS_Single / not married,45.0
NAME_TYPE_SUITE_Unaccompanied,43.8
AMT_REQ_CREDIT_BUREAU_WEEK,42.2
WEEKDAY_APPR_PROCESS_START_SATURDAY,41.8
NEW_60/30_DEF,41.8
FLAG_DOCUMENT_16,41.6
NEW_CNT_PARENT_MEMBERS,40.6
LIVE_CITY_NOT_WORK_CITY,40.4
REG_CITY_NOT_WORK_CITY,38.8
NONLIVINGAPARTMENTS_MODE,38.0
FLOORSMAX_MEDI,37.8
FLAG_DOCUMENT_18,37.6
ORGANIZATION_TYPE_School,36.6
ELEVATORS_MODE,35.4
NAME_HOUSING_TYPE_Office apartment,35.0
FLOORSMAX_MODE,34.8
WEEKDAY_APPR_PROCESS_START_SUNDAY,34.6
OCCUPATION_TYPE_High skill tech staff,32.4
WALLSMATERIAL_MODE_Panel,31.8
DEF_60_CNT_SOCIAL_CIRCLE,31.4
