feature,importance
NEW_CREDIT_TO_ANNUITY_RATIO,2808.4
EXT_SOURCE_3,2720.4
EXT_SOURCE_2,2348.4
EXT_SOURCE_1,2264.8
DAYS_BIRTH,1809.4
DAYS_ID_PUBLISH,1414.6
NEW_CREDIT_TO_GOODS_RATIO,1400.2
DAYS_EMPLOYED,1374.4
DAYS_LAST_PHONE_CHANGE,1330.2
NEW_GOODS_TO_ANNUITY_RATIO,1294.8
DAYS_REGISTRATION,1222.4
NEW_AGE_DAYS_REGISTRATION,1109.8
AMT_ANNUITY,1101.8
NEW_ANNUITY_TO_INCOME_RATIO,1023.2
REGION_POPULATION_RELATIVE,924.0
NEW_CREDIT_TO_INCOME_RATIO,890.8
AMT_GOODS_PRICE,857.6
OWN_CAR_AGE,749.2
AMT_CREDIT,728.8
AMT_INCOME_TOTAL,665.8
AMT_REQ_CREDIT_BUREAU_YEAR,627.6
HOUR_APPR_PROCESS_START,517.0
TOTALAREA_MODE,437.4
CODE_GENDER_M,395.0
LANDAREA_MODE,317.4
BASEMENTAREA_MODE,280.4
LANDAREA_AVG,274.2
APARTMENTS_MODE,273.8
NONLIVINGAREA_AVG,269.0
BASEMENTAREA_AVG,267.0
LIVINGAREA_MODE,253.2
YEARS_BEGINEXPLUATATION_MODE,251.6
NONLIVINGAREA_MODE,249.2
OBS_60_CNT_SOCIAL_CIRCLE,245.2
OBS_30_CNT_SOCIAL_CIRCLE,243.2
AMT_REQ_CREDIT_BUREAU_QRT,239.4
COMMONAREA_MODE,234.0
LANDAREA_MEDI,220.6
LIVINGAREA_AVG,220.6
YEARS_BEGINEXPLUATATION_MEDI,220.4
APARTMENTS_AVG,212.6
BASEMENTAREA_MEDI,212.2
YEARS_BEGINEXPLUATATION_AVG,210.8
LIVINGAREA_MEDI,202.0
APARTMENTS_MEDI,201.6
NAME_EDUCATION_TYPE_Higher education,194.8
NAME_FAMILY_STATUS_Married,191.2
COMMONAREA_AVG,187.2
NONLIVINGAREA_MEDI,186.2
FLAG_WORK_PHONE,185.4
COMMONAREA_MEDI,181.8
REGION_RATING_CLIENT_W_CITY,180.4
DEF_30_CNT_SOCIAL_CIRCLE,165.2
FLAG_DOCUMENT_3,163.6
LIVINGAPARTMENTS_AVG,162.0
LIVINGAPARTMENTS_MODE,161.8
YEARS_BUILD_MODE,161.0
ENTRANCES_AVG,155.8
YEARS_BUILD_AVG,143.4
AMT_REQ_CREDIT_BUREAU_MON,136.2
NAME_INCOME_TYPE_Working,131.0
LIVINGAPARTMENTS_MEDI,127.4
NONLIVINGAPARTMENTS_AVG,121.2
NAME_EDUCATION_TYPE_Secondary / secondary special,120.6
DEF_60_CNT_SOCIAL_CIRCLE,114.4
CNT_FAM_MEMBERS,114.0
FLOORSMIN_AVG,113.2
REG_CITY_NOT_LIVE_CITY,109.0
ORGANIZATION_TYPE_Self-employed,105.0
FLOORSMAX_AVG,103.4
