feature,importance
NEW_CREDIT_TO_ANNUITY_RATIO,3280.0
EXT_SOURCE_3,2749.2
EXT_SOURCE_2,2348.4
EXT_SOURCE_1,2268.8
DAYS_BIRTH,1834.4
NEW_CREDIT_TO_GOODS_RATIO,1509.8
DAYS_ID_PUBLISH,1364.6
DAYS_LAST_PHONE_CHANGE,1347.8
DAYS_EMPLOYED,1338.8
AMT_ANNUITY,1320.4
DAYS_REGISTRATION,1204.8
NEW_AGE_DAYS_REGISTRATION,1071.0
REGION_POPULATION_RELATIVE,943.4
AMT_GOODS_PRICE,934.2
AMT_CREDIT,811.2
NEW_INC_PER_CHLD,765.8
OWN_CAR_AGE,725.8
AMT_INCOME_TOTAL,699.6
AMT_REQ_CREDIT_BUREAU_YEAR,647.6
LANDAREA_AVG,584.4
BASEMENTAREA_AVG,550.2
TOTALAREA_MODE,529.6
HOUR_APPR_PROCESS_START,529.2
LIVINGAREA_MEDI,452.8
CODE_GENDER_M,399.6
NEW_DEF/OBS_30,332.2
NONLIVINGAREA_AVG,310.6
APARTMENTS_AVG,290.8
APARTMENTS_MEDI,282.4
NONLIVINGAREA_MEDI,276.4
COMMONAREA_MEDI,276.2
COMMONAREA_AVG,255.8
AMT_REQ_CREDIT_BUREAU_QRT,233.0
YEARS_BUILD_AVG,223.6
LIVINGAPARTMENTS_AVG,216.4
NEW_DEF/OBS_60,213.8
YEARS_BUILD_MEDI,210.4
NAME_EDUCATION_TYPE_Higher education,194.2
NAME_FAMILY_STATUS_Married,192.4
LIVINGAPARTMENTS_MEDI,192.4
OBS_30_CNT_SOCIAL_CIRCLE,185.0
REGION_RATING_CLIENT_W_CITY,184.2
FLAG_WORK_PHONE,183.8
ENTRANCES_AVG,181.8
OBS_60_CNT_SOCIAL_CIRCLE,160.0
NEW_NUM_DOCS,157.6
FLAG_DOCUMENT_3,149.4
FLOORSMAX_AVG,140.6
FLOORSMIN_AVG,135.0
NONLIVINGAPARTMENTS_AVG,131.0
NAME_INCOME_TYPE_Working,129.8
AMT_REQ_CREDIT_BUREAU_MON,129.2
NAME_EDUCATION_TYPE_Secondary / secondary special,120.6
REG_CITY_NOT_LIVE_CITY,119.6
ENTRANCES_MEDI,113.2
ORGANIZATION_TYPE_Self-employed,110.4
NEW_60/30_OBS,95.4
NAME_CONTRACT_TYPE_Revolving loans,91.6
ELEVATORS_AVG,84.0
ORGANIZATION_TYPE_Business Entity Type 3,83.4
CNT_FAM_MEMBERS,81.2
FLAG_OWN_REALTY_Y,76.2
FLAG_PHONE,71.0
FLOORSMIN_MEDI,71.0
NONLIVINGAPARTMENTS_MEDI,68.8
OCCUPATION_TYPE_Drivers,68.4
CNT_CHILDREN,68.2
FLOORSMAX_MEDI,65.4
WEEKDAY_APPR_PROCESS_START_MONDAY,62.8
OCCUPATION_TYPE_Laborers,61.4
ORGANIZATION_TYPE_Construction,60.2
ORGANIZATION_TYPE_Transport: type 3,55.4
OCCUPATION_TYPE_Core staff,55.0
"WALLSMATERIAL_MODE_Stone, brick",54.8
REGION_RATING_CLIENT,52.6
WEEKDAY_APPR_PROCESS_START_TUESDAY,52.4
ORGANIZATION_TYPE_Military,52.0
DEF_30_CNT_SOCIAL_CIRCLE,51.4
NAME_HOUSING_TYPE_House / apartment,50.2
NEW_60/30_DEF,49.2
ELEVATORS_MEDI,48.8
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,48.2
ORGANIZATION_TYPE_Industry: type 9,47.0
NEW_CNT_PARENT_MEMBERS,43.6
REG_CITY_NOT_WORK_CITY,42.8
LIVE_CITY_NOT_WORK_CITY,42.6
NAME_TYPE_SUITE_Unaccompanied,42.2
AMT_REQ_CREDIT_BUREAU_WEEK,41.4
WEEKDAY_APPR_PROCESS_START_SATURDAY,41.0
WALLSMATERIAL_MODE_Panel,39.6
DEF_60_CNT_SOCIAL_CIRCLE,36.8
ORGANIZATION_TYPE_School,36.4
NAME_FAMILY_STATUS_Single / not married,36.2
NAME_HOUSING_TYPE_Office apartment,36.0
OCCUPATION_TYPE_High skill tech staff,35.2
OCCUPATION_TYPE_Sales staff,34.2
WEEKDAY_APPR_PROCESS_START_SUNDAY,32.0
NAME_HOUSING_TYPE_Municipal apartment,29.8
ORGANIZATION_TYPE_Security Ministries,28.6
NAME_INCOME_TYPE_State servant,28.4
ORGANIZATION_TYPE_Bank,28.0
AMT_REQ_CREDIT_BUREAU_DAY,27.2
NAME_EDUCATION_TYPE_Lower secondary,26.2
ORGANIZATION_TYPE_Police,25.4
NAME_INCOME_TYPE_Commercial associate,25.2
WEEKDAY_APPR_PROCESS_START_THURSDAY,25.0
"NAME_TYPE_SUITE_Spouse, partner",24.6
REG_REGION_NOT_WORK_REGION,21.4
ORGANIZATION_TYPE_Kindergarten,20.2
FONDKAPREMONT_MODE_reg oper spec account,19.2
FLAG_DOCUMENT_8,19.0
NAME_HOUSING_TYPE_With parents,18.8
OCCUPATION_TYPE_Medicine staff,18.0
NAME_FAMILY_STATUS_Separated,17.4
OCCUPATION_TYPE_Private service staff,17.2
NAME_FAMILY_STATUS_Widow,16.8
FLAG_EMAIL,16.6
WALLSMATERIAL_MODE_Others,16.0
NAME_TYPE_SUITE_Family,15.8
ORGANIZATION_TYPE_Hotel,15.4
NAME_EDUCATION_TYPE_Incomplete higher,15.4
ORGANIZATION_TYPE_Medicine,14.4
FONDKAPREMONT_MODE_org spec account,14.0
OCCUPATION_TYPE_Security staff,13.4
ORGANIZATION_TYPE_Trade: type 3,13.2
OCCUPATION_TYPE_Low-skill Laborers,13.2
ORGANIZATION_TYPE_Government,12.8
FLAG_OWN_CAR_Y,12.6
LIVE_REGION_NOT_WORK_REGION,12.6
FLAG_DOCUMENT_5,12.0
NAME_TYPE_SUITE_Other_B,12.0
OCCUPATION_TYPE_Managers,12.0
NAME_HOUSING_TYPE_Rented apartment,11.6
FONDKAPREMONT_MODE_reg oper account,11.4
REG_REGION_NOT_LIVE_REGION,11.4
ORGANIZATION_TYPE_Trade: type 7,11.2
HOUSETYPE_MODE_specific housing,10.6
OCCUPATION_TYPE_Cleaning staff,10.4
ORGANIZATION_TYPE_Business Entity Type 1,10.0
FLAG_DOCUMENT_6,10.0
ORGANIZATION_TYPE_Industry: type 3,9.2
AMT_REQ_CREDIT_BUREAU_HOUR,9.0
ORGANIZATION_TYPE_Trade: type 2,8.6
ORGANIZATION_TYPE_Transport: type 4,8.0
NAME_INCOME_TYPE_Pensioner,7.6
ORGANIZATION_TYPE_Other,7.4
ORGANIZATION_TYPE_University,7.2
FLAG_DOCUMENT_11,7.0
OCCUPATION_TYPE_Cooking staff,7.0
ORGANIZATION_TYPE_Postal,6.4
ORGANIZATION_TYPE_Restaurant,6.4
OCCUPATION_TYPE_Waiters/barmen staff,5.8
ORGANIZATION_TYPE_Business Entity Type 2,5.6
OCCUPATION_TYPE_Secretaries,5.4
WALLSMATERIAL_MODE_Monolithic,5.2
FLAG_DOCUMENT_18,3.6
ORGANIZATION_TYPE_Industry: type 1,3.2
NAME_TYPE_SUITE_Other_A,2.8
ORGANIZATION_TYPE_Services,2.8
ORGANIZATION_TYPE_Electricity,2.4
ORGANIZATION_TYPE_Security,2.4
ORGANIZATION_TYPE_Industry: type 4,2.2
WALLSMATERIAL_MODE_Mixed,2.2
EMERGENCYSTATE_MODE_Yes,1.4
ORGANIZATION_TYPE_Housing,1.4
ORGANIZATION_TYPE_Industry: type 7,1.2
FLAG_EMP_PHONE,0.6
HOUSETYPE_MODE_terraced house,0.6
ORGANIZATION_TYPE_Transport: type 2,0.4
WALLSMATERIAL_MODE_Wooden,0.4
ORGANIZATION_TYPE_Agriculture,0.4
FLAG_DOCUMENT_9,0.2
ORGANIZATION_TYPE_Culture,0.0
ORGANIZATION_TYPE_Emergency,0.0
FLAG_DOCUMENT_4,0.0
FLAG_CONT_MOBILE,0.0
ORGANIZATION_TYPE_Industry: type 2,0.0
OCCUPATION_TYPE_IT staff,0.0
ORGANIZATION_TYPE_Cleaning,0.0
OCCUPATION_TYPE_Realty agents,0.0
