feature,importance
NEW_CREDIT_TO_ANNUITY_RATIO,3090.6
EXT_SOURCE_3,2626.0
EXT_SOURCE_2,2230.4
EXT_SOURCE_1,2185.2
DAYS_BIRTH,1718.6
NEW_CREDIT_TO_GOODS_RATIO,1481.6
DAYS_ID_PUBLISH,1301.2
DAYS_EMPLOYED,1275.8
AMT_ANNUITY,1234.4
DAYS_LAST_PHONE_CHANGE,1210.2
DAYS_REGISTRATION,1104.2
NEW_AGE_DAYS_REGISTRATION,990.0
AMT_GOODS_PRICE,871.4
REGION_POPULATION_RELATIVE,830.6
AMT_CREDIT,724.0
OWN_CAR_AGE,692.2
NEW_INC_PER_CHLD,691.4
AMT_INCOME_TOTAL,635.4
AMT_REQ_CREDIT_BUREAU_YEAR,611.4
HOUR_APPR_PROCESS_START,460.8
CODE_GENDER_M,381.0
TOTALAREA_MODE,318.6
NEW_DEF/OBS_30,310.2
NEW_TOTALAREA_MODE_REGRATRAT,278.6
NEW_BASEMENTAREA_MODE_REGRATRAT,222.2
AMT_REQ_CREDIT_BUREAU_QRT,213.0
NEW_DEF/OBS_60,198.0
NAME_EDUCATION_TYPE_Higher education,191.8
YEARS_BEGINEXPLUATATION_MODE,191.6
LANDAREA_MODE,190.8
BASEMENTAREA_MODE,187.0
FLAG_WORK_PHONE,184.6
YEARS_BEGINEXPLUATATION_MEDI,180.0
FLAG_DOCUMENT_3,178.8
NAME_FAMILY_STATUS_Married,178.6
LIVINGAREA_MODE,177.2
NEW_BASEMENTAREA_AVG_REGRATRAT,174.4
APARTMENTS_MODE,173.6
LANDAREA_AVG,173.0
NEW_APARTMENTS_MODE_REGRATRAT,172.8
BASEMENTAREA_AVG,167.6
YEARS_BEGINEXPLUATATION_AVG,166.8
OBS_30_CNT_SOCIAL_CIRCLE,166.2
NEW_LIVINGAREA_MODE_REGRATRAT,165.2
NEW_LANDAREA_MODE_REGRATRAT,163.0
NEW_LANDAREA_AVG_REGRATRAT,159.6
NONLIVINGAREA_AVG,159.4
OBS_60_CNT_SOCIAL_CIRCLE,152.0
NEW_YEARS_BEGINEXPLUATATION_MODE_REGRATRAT,151.6
REGION_RATING_CLIENT_W_CITY,150.4
NONLIVINGAREA_MODE,148.2
NEW_BASEMENTAREA_MEDI_REGRATRAT,145.4
NEW_NONLIVINGAREA_AVG_REGRATRAT,141.8
BASEMENTAREA_MEDI,141.6
APARTMENTS_AVG,141.4
