SK_ID_CURR,TARGET
100001,2.5481327340863903e-115
100005,1.748694484748651e-134
100013,1.1991795209949674e-127
100028,2.059624197449978e-110
100038,1.2790251509638247e-120
100042,1.6253073461288803e-116
100057,1.385830823788713e-119
100065,3.0534169482265177e-109
100066,8.829960715871057e-114
100067,1.7543669531664907e-123
100074,1.3640376570667732e-149
100090,6.288365074951305e-128
100091,4.76867952940222e-127
100092,6.148193925486167e-137
100106,2.33374703337104e-114
100107,7.482301958462784e-129
100109,4.560219378031161e-115
100117,8.69129176047729e-150
100128,3.8336270332854884e-98
100141,1.2119482314317323e-127
100150,9.907269155325138e-105
100168,2.2976205352272843e-176
100169,1.6756146364195574e-152
100170,4.980441419079806e-118
100171,2.7196331345874897e-113
100172,1.2962355498347748e-134
100184,5.583179705866707e-137
100187,3.0673859057720074e-124
100212,3.2941658030508254e-112
100222,7.520745226294991e-125
100223,3.4164358484567856e-103
100232,1.8157342821404807e-121
100241,1.5454179977776258e-105
100245,1.297686114404544e-117
100253,5.439917821546547e-106
100256,1.2907337494611723e-99
100271,1.1955016506495963e-133
100278,6.2625328646559646e-108
100280,2.5215546139457233e-116
100306,2.5629105815953345e-126
100311,2.4745055745676123e-123
100312,3.2422664116034464e-150
100330,7.173762699027218e-112
100331,1.6980005978999117e-122
100352,3.9173682295006524e-116
100358,9.452938111782175e-116
100367,6.735988827054194e-120
100382,2.93915723255297e-115
100384,2.099965187321014e-117
100385,1.801300699241e-126
100386,2.599291727431658e-125
100399,3.1915545100887267e-114
100404,9.825041622445754e-123
100416,2.7855003764598075e-110
100422,8.053170228294757e-128
100426,1.6893407920215223e-119
100438,3.5520399950567478e-99
100444,1.3261055113732635e-112
100445,8.363221840446723e-113
100446,6.813254855445876e-115
100447,2.3495855146045156e-147
100450,9.240312788349725e-163
100466,6.966961784238266e-141
100483,3.263845698579741e-135
100484,3.488215831933953e-173
100494,3.5713693944898e-101
100510,6.015660835529632e-130
100512,2.1953582751787646e-157
100517,1.3143210803940224e-101
100548,2.167925321746665e-147
100551,2.1246175035871533e-117
100552,5.362545311999262e-111
100553,5.099878053746875e-110
100561,9.760437002045305e-130
100568,9.219660004747483e-117
100569,5.3955574636399906e-108
100591,8.907792405063834e-109
100592,5.3411634157168533e-135
100602,7.169480307786587e-102
100607,1.2566874407236073e-119
100613,6.098591322583902e-136
100617,9.249791746934638e-130
100618,5.481097031612297e-110
100622,1.382439697050074e-110
100625,4.572778591896527e-107
100677,1.2004494007778089e-102
100699,7.731975541246764e-113
100702,1.4133045649320679e-123
100711,4.5731833980727274e-129
100729,2.3741346667639966e-118
100740,7.175215579022131e-110
100744,4.810835656868179e-103
100745,7.555978127641538e-113
100747,3.0006820225618404e-110
100751,3.339282989180453e-107
100752,3.744039490064163e-173
100753,5.933097507656758e-103
100754,1.894589260319933e-124
100760,5.092130311577753e-107
100762,2.910203344105488e-109
100763,4.967966209353635e-114
100765,2.9506257583799086e-131
100770,6.398623660808716e-98
100772,1.6247714050444934e-119
100777,5.708306283906697e-110
100791,4.933497389282793e-109
100792,4.5783478876803285e-127
100797,2.6761034264066937e-117
100823,8.21418151005276e-112
100826,2.634648254668878e-116
100830,7.927872308570232e-160
100836,3.2281021860599502e-121
100872,4.6248862520001003e-113
100910,4.3579660945450665e-125
100913,5.6336043317894264e-145
100918,5.150810778158322e-105
100931,5.445631195053687e-156
100952,2.718692185784588e-114
100953,3.5328778206378536e-148
100965,1.7053726540570526e-128
100970,2.1957010486697195e-122
100982,2.6873185450245674e-101
100983,4.72407615094904e-123
100984,8.203408967530236e-105
100987,3.2864594378589733e-105
100997,6.276229424067039e-113
100998,3.4053932623626633e-127
101002,7.230596169209799e-140
101005,2.4074499151739525e-128
101008,2.5401555090627847e-114
101020,2.8927399858796433e-114
101021,7.95220086630167e-129
101024,1.772720888509191e-111
101025,2.702625458950246e-114
101026,5.366046489049621e-170
101031,1.2651801279025672e-148
101041,2.8035320566513896e-115
101051,5.269466963840369e-124
101055,1.5916908449929272e-134
101056,5.929190128772488e-102
101057,4.139613666821133e-118
101064,2.330971862167292e-140
101079,5.901395417204216e-153
101087,1.7414195529141902e-114
101090,9.053930372423203e-149
101092,1.2514855743779384e-106
101097,5.559160246519458e-115
101099,1.0218115709110553e-174
101107,1.1587011837332601e-129
101118,1.719182380893231e-123
101125,7.277662991361237e-116
101126,8.071861550771472e-123
101128,2.0940603875810462e-113
101136,1.0774357407500802e-107
101140,1.566517050985107e-126
101149,3.274499183191784e-128
101160,4.206115463407623e-150
101169,6.808513248099969e-122
101181,1.4494280609505119e-125
101186,1.1115685979860153e-130
101190,2.07214590568443e-124
101193,3.152241053179089e-111
101194,1.009750400467482e-116
101198,8.590272607941725e-132
101200,1.1727853707534066e-115
101204,9.328851100661373e-123
101211,4.6712703654399113e-147
101213,3.6102012313307144e-98
101223,2.1526284306789884e-101
101225,1.886393046203796e-110
101237,1.2452885925341628e-125
101243,1.392457966525149e-119
101244,9.351153282021737e-112
101258,2.056180857400579e-161
101259,2.0091253816160428e-103
101268,2.0328973738378435e-117
101269,9.393286867177215e-137
101271,1.6887643150448154e-115
101279,8.753438904505827e-152
101281,5.566291567151925e-154
101287,1.6798994492102434e-121
101292,1.0849842311902432e-160
101294,8.832491322641444e-125
101296,2.0381903877351748e-134
101297,2.444468903310668e-110
101299,7.767555880609466e-116
101301,3.275058870596704e-128
101305,6.787661721377707e-145
101308,4.946842152602469e-132
101318,2.273254612246236e-147
101327,5.9454408967456504e-123
101329,2.0532369419696178e-109
101332,1.1189332566155944e-146
101337,6.0078627013035166e-118
101343,2.4708850566323123e-112
101345,9.514693422187156e-133
101346,2.514069230724962e-111
101353,1.0937243782876775e-115
101354,8.224366791993542e-116
101355,7.326406421754599e-137
101356,2.61668209379369e-159
101362,3.941537386524848e-111
101363,1.0676426589315325e-125
101365,1.6139261051316373e-120
101366,3.094395397443483e-121
101367,7.897511066788694e-107
101368,1.6949209080011006e-118
101374,6.46426457669775e-101
101380,4.2988373264629195e-124
101383,2.563120956024582e-178
101398,9.91741765040232e-162
101399,2.8186511644766076e-127
101401,8.225191636119254e-125
101412,5.738388586445034e-113
101426,2.3546775429053233e-127
101427,2.749921050274062e-122
101428,2.117550079609596e-100
101429,1.3702304667803754e-141
101434,1.3028504443576945e-133
101440,5.500489032215924e-116
101448,1.6563159754095922e-105
101449,1.856503401390429e-133
101465,1.1208361554610906e-98
101467,3.192993970530124e-128
101472,1.2521055925390751e-127
101478,3.909116634296532e-145
101497,7.291437784956629e-117
101504,1.9339246314065748e-116
101547,9.820649893933359e-120
101548,2.256478688070159e-109
101555,2.055179936440503e-133
101570,6.759021243899699e-135
101572,1.453540866275217e-125
101578,3.7305986875548675e-111
101580,2.7746033563890694e-130
101588,1.0556612103508411e-116
101602,1.0100312129427224e-131
101610,1.424491244607668e-110
101614,3.265130599829147e-106
101616,1.9653786558674487e-120
101643,3.8581004433555716e-118
101644,7.839173173958408e-114
101649,5.503979342391635e-125
101650,8.040428492516535e-132
101665,9.720999649859157e-184
101667,6.798354775638426e-102
101669,5.1805786186971614e-142
101674,2.750646225871024e-115
101675,6.085336681699748e-120
101678,3.789295857740823e-113
101682,1.7278979816067949e-102
101686,2.2796618968934028e-129
101697,3.8644337500572006e-112
101700,5.519834746810868e-107
101711,7.15894243964752e-169
101714,8.433454880405087e-137
101715,3.4721933945064786e-111
101728,1.1564466704363791e-110
101732,6.950165655676933e-122
101757,3.488985051193324e-171
101758,2.2559689406896494e-99
101759,6.88983481920126e-114
101762,9.639128571563582e-122
101764,1.71491710238057e-130
101780,3.7329207161513786e-111
101784,9.410848364180957e-130
101789,4.1071016586819553e-112
101816,1.5046094555467183e-148
101819,3.985036381695323e-115
101827,1.2816293605596764e-145
101863,2.0799356432292947e-115
101867,8.692074848957487e-122
101870,2.1972025037827878e-138
101873,4.3098439144622483e-123
101878,1.0436376110565252e-127
101879,4.95079579148586e-133
101880,3.2000899120930527e-107
