SK_ID_CURR,TARGET
100001,0.022504663
100005,0.20201012
100013,0.027473558
100028,0.035973225
100038,0.14595501
100042,0.028587017
100057,0.014706024
100065,0.09841369
100066,0.007838919
100067,0.08016426
100074,0.07299075
100090,0.09564099
100091,0.13924417
100092,0.11976051
100106,0.07477628
100107,0.11125502
100109,0.07621153
100117,0.047113292
100128,0.036255296
100141,0.06661878
100150,0.027241455
100168,0.009884437
100169,0.026546642
100170,0.065233
100171,0.0511771
100172,0.1038734
100184,0.08341414
100187,0.067065924
100212,0.04480915
100222,0.08817159
100223,0.006140411
100232,0.013734851
100241,0.15764466
100245,0.024090575
100253,0.031501714
100256,0.09870078
100271,0.016212346
100278,0.185979
100280,0.011516245
100306,0.18513577
100311,0.12116058
100312,0.014174266
100330,0.10988451
100331,0.11075792
100352,0.06508327
100358,0.15407419
100367,0.043208186
100382,0.11514637
100384,0.068687595
100385,0.113288656
100386,0.06989567
100399,0.025161678
100404,0.095934376
100416,0.04499882
100422,0.11064786
100426,0.055037268
100438,0.055246558
100444,0.12140158
100445,0.16586353
100446,0.06737894
100447,0.041619454
100450,0.056256395
100466,0.023050109
100483,0.031746734
100484,0.018113017
100494,0.06177711
100510,0.11604322
100512,0.03440219
100517,0.042565867
100548,0.07718771
100551,0.070050605
100552,0.14052522
100553,0.026709318
100561,0.1327044
100568,0.25169602
100569,0.05381433
100591,0.07696301
100592,0.023189718
100602,0.08534489
100607,0.06429779
100613,0.10240291
100617,0.107925266
100618,0.101331204
100622,0.12058974
100625,0.12391645
100677,0.11411813
100699,0.058518518
100702,0.25465006
100711,0.06837272
100729,0.13945651
100740,0.11286603
100744,0.14841485
100745,0.07498792
100747,0.113309346
100751,0.17346905
100752,0.055622056
100753,0.21226583
100754,0.14441644
100760,0.06127298
100762,0.10173629
100763,0.052857377
100765,0.03799942
100770,0.116597384
100772,0.029503122
100777,0.027463546
100791,0.030997273
100792,0.0050017033
100797,0.02528984
100823,0.06408565
100826,0.053442117
100830,0.048155345
100836,0.2374709
100872,0.06546415
100910,0.078873366
100913,0.0776469
100918,0.0513283
100931,0.009757593
100952,0.09566722
100953,0.08072069
100965,0.13992932
100970,0.06374283
100982,0.15733398
100983,0.11652377
100984,0.04558311
100987,0.1012716
100997,0.06742649
100998,0.124581434
101002,0.08132913
101005,0.18059419
101008,0.13031901
101020,0.09518831
101021,0.05013418
101024,0.032308362
101025,0.16076328
101026,0.038497157
101031,0.046584565
101041,0.027143382
101051,0.00270992
101055,0.12133241
101056,0.2020496
101057,0.07242862
101064,0.062460374
101079,0.0839053
101087,0.089751214
101090,0.046214398
101092,0.1068512
101097,0.08226163
101099,0.027951108
101107,0.0902956
101118,0.09215167
101125,0.1493172
101126,0.031108232
101128,0.046822596
101136,0.12624781
101140,0.11723043
101149,0.11569689
101160,0.117482245
101169,0.2033348
101181,0.041312497
101186,0.03420915
101190,0.12727092
101193,0.13094676
101194,0.10543848
101198,0.083432555
101200,0.00877304
101204,0.034147058
101211,0.06170342
101213,0.10477711
101223,0.065809965
101225,0.120404646
101237,0.11371444
101243,0.09695995
101244,0.17624384
101258,0.061108917
101259,0.14869961
101268,0.14090085
101269,0.025706703
101271,0.14876771
101279,0.07390223
101281,0.10058607
101287,0.06814184
101292,0.044913966
101294,0.052530214
101296,0.086127646
101297,0.045440033
101299,0.02149343
101301,0.054719105
101305,0.08502859
101308,0.07488464
101318,0.031446386
101327,0.18681908
101329,0.07488441
101332,0.061211083
101337,0.09679718
101343,0.005549675
101345,0.04218147
101346,0.044679336
101353,0.01717452
101354,0.16748258
101355,0.1760846
101356,0.031747356
101362,0.10146566
101363,0.2317693
101365,0.043582685
101366,0.11818763
101367,0.19589949
101368,0.021032132
101374,0.15454304
101380,0.03674117
101383,0.037147604
101398,0.027918091
101399,0.18959096
101401,0.14005473
101412,0.07645696
101426,0.07577018
101427,0.28375718
101428,0.13560052
101429,0.12798148
101434,0.025070878
101440,0.094444335
101448,0.11013458
101449,0.023085533
101465,0.077010475
101467,0.014511468
101472,0.12190267
101478,0.11068306
101497,0.08087422
101504,0.029963275
101547,0.06500632
101548,0.10130448
101555,0.18716092
101570,0.040323474
101572,0.038894
101578,0.040006593
101580,0.1648355
101588,0.11881566
101602,0.050220665
101610,0.18476954
101614,0.06296431
101616,0.0834263
101643,0.13562596
101644,0.042032138
101649,0.19413796
101650,0.07487815
101665,0.011834001
101667,0.13090877
101669,0.03487116
101674,0.06375688
101675,0.06235349
101678,0.105215006
101682,0.09512318
101686,0.06343369
101697,0.15265739
101700,0.19366814
101711,0.05814871
101714,0.023921615
101715,0.19533417
101728,0.08995659
101732,0.08091963
101757,0.16672717
101758,0.108302854
101759,0.09523839
101762,0.021117266
101764,0.06274957
101780,0.26549685
101784,0.010043978
101789,0.034656182
101816,0.077776395
101819,0.017358568
101827,0.015548689
101863,0.1512201
101867,0.11911166
101870,0.009107882
101873,0.13460875
101878,0.10069593
101879,0.04238628
101880,0.026862442
101887,0.15626955
101897,0.035588443
101901,0.09798115
101903,0.24371214
101920,0.026095599
101921,0.08159649
101922,0.038219653
101961,0.10644208
101962,0.012773779
101971,0.042557787
101976,0.1752166
102002,0.11021422
102005,0.06057812
102007,0.19563353
102017,0.019500645
102019,0.14615528
102029,0.009046706
102051,0.1988339
102052,0.01298215
102054,0.029456362
102062,0.11155344
102067,0.13437223
102068,0.09105153
102070,0.05848306
102090,0.07162046
102092,0.061960574
102099,0.13523726
102100,0.032286886
102112,0.09007611
102113,0.06712424
102122,0.16598986
102123,0.027871432
102125,0.047686897
102126,0.17624144
102146,0.06498236
102147,0.09683279
102151,0.060242023
102158,0.08882742
102159,0.04895574
102162,0.094917215
102165,0.08386683
102166,0.07062216
102174,0.030862045
102193,0.15201177
102198,0.03994728
102205,0.119552694
102206,0.012106242
102218,0.05702492
102221,0.049516786
102230,0.07769816
102238,0.104568414
102248,0.054930124
102252,0.22512223
102259,0.06722624
102262,0.12264565
102273,0.051922098
102286,0.08625142
102293,0.042389434
102294,0.042196326
102296,0.10759593
102298,0.11078014
102303,0.049510013
102309,0.034057684
102315,0.027618313
102340,0.027581688
102342,0.1004819
102344,0.08810929
102346,0.10937633
102347,0.027380208
102374,0.06493894
102380,0.025240049
102387,0.015243245
102393,0.06722566
102403,0.038150817
102413,0.06677096
102414,0.0068849153
102415,0.052703485
102416,0.13269332
102439,0.05737104
102441,0.028783333
102443,0.04469568
102444,0.07406674
102445,0.1270174
102448,0.082926676
102449,0.08663092
102450,0.18215796
102456,0.081433654
102458,0.0991847
102459,0.035600524
102465,0.016805286
102470,0.16729806
102471,0.0850262
102475,0.08878072
102476,0.12973854
102506,0.05864835
102509,0.069578364
102519,0.04353916
102522,0.03743216
102545,0.049644783
102549,0.0719069
102562,0.010470055
102563,0.04444928
102568,0.10239907
102582,0.13087444
102592,0.021066494
102597,0.14453465
102605,0.0092685735
102614,0.017414387
102617,0.07116534
102634,0.095438115
102652,0.033545297
102655,0.0056590736
102671,0.08892931
102694,0.15786998
102701,0.050138142
102703,0.017879141
102704,0.030001406
102713,0.008303782
102720,0.085828945
102731,0.031819817
102733,0.06611461
102749,0.05089813
102755,0.053232975
102763,0.01878379
102770,0.077453524
102772,0.0999385
102799,0.14888449
102838,0.04182197
102854,0.04753083
102862,0.12572801
102863,0.038241006
102867,0.022844084
102868,0.0168479
102878,0.0680354
102887,0.09540554
102898,0.16385394
102904,0.072855055
102912,0.13073385
102919,0.028665705
102927,0.07261924
102932,0.05740131
102933,0.16464064
102935,0.046295796
102958,0.07641288
102969,0.03946491
102971,0.026269617
102975,0.0421932
102979,0.08795702
102982,0.01962044
102987,0.1155269
102989,0.061638564
102995,0.08899828
102996,0.024261028
103000,0.0444743
103001,0.048952762
103004,0.108006254
103010,0.04791297
103025,0.14443067
103029,0.09614199
103046,0.12734668
103056,0.05237249
103062,0.105980836
103078,0.030035006
103083,0.0073465747
103092,0.05659075
103096,0.120710246
103097,0.22030155
103102,0.14674574
103112,0.0692484
103132,0.047971252
103144,0.12439433
103145,0.08682622
103146,0.021357499
103147,0.10944275
103158,0.033198267
103171,0.084836364
103173,0.059394874
103184,0.07120353
103195,0.111490175
103196,0.04897433
103206,0.007626073
103230,0.09902643
103231,0.22696523
103232,0.044890493
103239,0.09843984
103240,0.12542647
103243,0.02851141
103252,0.1435529
103258,0.044660855
103259,0.134657
103279,0.02228321
103280,0.020454286
103286,0.04764905
103287,0.27318227
103290,0.028218959
103298,0.06478702
103315,0.0075245877
103319,0.018515326
103334,0.12293462
103336,0.114087135
103345,0.067025416
103368,0.035793208
103371,0.08105553
103377,0.079592645
103398,0.009775989
103404,0.0386382
103408,0.13742481
103410,0.04611154
103418,0.012905983
103420,0.19696578
103432,0.08743441
103433,0.016318882
103436,0.03103062
103440,0.048673764
103453,0.048205376
103459,0.17236806
103460,0.059852812
103461,0.0106009785
103462,0.068695776
103473,0.15909706
103474,0.010912169
103475,0.16042662
103478,0.1312204
103480,0.09588191
103484,0.03885254
103494,0.07017328
103513,0.08729992
103515,0.03925663
103516,0.18380068
103525,0.11640482
103541,0.14732505
103544,0.025859678
103562,0.1738286
103570,0.23648731
103572,0.14728332
103574,0.039113868
103575,0.07570511
103591,0.13212231
103594,0.06359063
103609,0.06888421
103613,0.06093266
103614,0.076866806
103615,0.037107386
103624,0.070551276
103625,0.19928439
103628,0.14597215
103629,0.018061846
103647,0.062087417
103648,0.07649445
103651,0.047579505
103658,0.02465561
103668,0.070026144
103669,0.027824229
103676,0.07023731
103682,0.061831985
103683,0.05923192
103689,0.018947184
